_id,작성자,별점 점수,내용
658a832526947c0563265056,STONE,2.5,"오직 코믹북 스타일이어서 가능했던 혼란스러운 내면의 반영, 그러나 굳이 불필요한 인물들과 팀을 이루며 옅어진 성장영화의 감정선."
658a832526947c0563265057,juno,4.5,"애니메이션으로 보여줄 수 있는 모든 것들의 극대화.\n시각적인 즐거움과 스토리, 주제까지 놓친 부분이 없다."
658a832526947c0563265058,최시환,3.5,"후속편이 기대되긴하지만, 몇몇 스파이디는 안나오면 좋겠다..."
658a832526947c0563265059,CHAEYOOE,4.0,시간 절약과 음악 낭비의 황금 배합으로 탄생한 올해 가장 맹랑한 영화.
658a832526947c056326505a,뚱이에요,4.5,기어코 애니메이션계에 한 획을 그었다.
658a832526947c056326505b,영화보고 밥먹고 커피마시고 산책해요,4.0,"마블  코믹북을 영상으로 보는듯한 표현력은 감탄을 금치못한다. 스피디한 연출과 찰진 대사는 신세대들에게 충분히 어필 할만하다.\n단,단조로운 스토리와 스파이디들(?)의 개성을 정확하게 표현못한 부분은 아쉽다. 하지만, 소니에서 제작한 마블영화 중 나름 선방한 작품인것은 분명하다."
658a832526947c056326505c,안녕하세엳,3.0,"각자의 세계에 거꾸로 매달린 우리로부터 똑바로 마주할 수 있는 친구가 그 어디에라도 있다면, 앞날 모르는 다른 세계는 단지 기대 가득한 여행지가 될 뿐."
658a832526947c056326505d,다솜땅,4.5,일본 애니 보는듯한 그래픽에 새로운 색체! 다른 각도에서 바라본 스파이더맨. 새 스파이더맨의 적응기! 이제부턴 얘가 활약하는 거야?! 2대 스파이더맨?? \n#19.2.22 (232)
658a832526947c056326505e,김혜리 평론가 봇,4.0,스파이더맨들에게서 <레고 무비>의 향기가. 코믹스 양식의 스마트한 응용
658a832626947c056326505f,...,1.5,.
658a832626947c0563265060,Mashimaro,4.0,스파이더맨판 어벤져스 보는 느낌ㅋㅋ\n정말 재미지다😆\n정신없이 지나가는 장면들이 영화 퀄리티를 높여줬다는 점이 좋았다\n \n \n \n2nd Mov. of my WishList Top10
658a832626947c0563265061,가을,5.0,"많은 수퍼히어로들은 하늘을 향해 도약한다. 어떤 히어로는 바닥으로 떨어지며 도약한다.\n.\n.\n.\n.\n.\n조조관람함. 쿠키있음. 스포X\n(+가능하다면 특별관 추천ㅠ 아맥이나 포디로 봤으면 진짜 좋았을 것 같다)\n 헤드셋 끼고 따라부르는 마일즈의 모습에 처음부터 빵터졌다ㅋㅋㅋㅋ 원래 영화보면서 잘 안웃는데 이 영화는 자주 웃게 만드는 유쾌한 영화였다.\n OST가 하나하나 아주 적절하고 힙했는데, 아직도 앨범이 안나왔다니 믿기지 않는다. \n이미 너무 익숙한 스파이더맨 서사를 홈커밍처럼 마냥 스킵하지도 않고, 오히려 여러번 반복하되 주인공을 흑인, 여성, 동양인으로 설정하면서 신선함을 잡을 수 있었다. \n스파이디들이 여려명 나오는데도 주인공 마일즈의 서사에 게으르지 않고, 동료 스파이디들의 서사도 적절했다.\n속편을 기대하게 만들면서도 영화 한 편의 완성도는 상당하다!\n연출은 정말 박수를 쳐주고싶다. 기본은 3D 애니메이션이지만, 2D 코믹북과 실사영화의 강점들을 전부 잘 섞어서 영상미와 발상이 대단하다.\n힙한 노래, 흥미로운 스토리, 끝내주는 연출, 피씨함까지 완벽ㅠㅜ\n스파이더맨 덕후라면 곳곳에 가득한 오마주 덕분에 더 즐겁게 관람 가능하다."
658a832626947c0563265062,영화는 나의 힘,4.0,스파이더맨을 사랑하는 사람들에게 바치는 선물!
